Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
EHDSLaboratoryObservation; hasMember[x]; 0..*; This observation is a group observation (e.g. a battery, a panel of tests, a set of vital sign measurements) that includes the target as a member of the group.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; This observation is a group observation (e.g. a battery, a panel of tests, a set of vital sign measurements) that includes the target as a member of the group. ; SHOULD:able-to-populate; 
EHDSLaboratoryObservation; triggeredBy[x]; 0..*; References to the observation(s) that triggered the performance of this observation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation;   ; References to the observation(s) that triggered the performance of this observation. ; SHOULD:able-to-populate; 
EHDSLaboratoryObservation; triggeredBy[x]; 0..*; References to the observation(s) that triggered the performance of this observation.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; References to the observation(s) that triggered the performance of this observation. ; SHOULD:able-to-populate; 
EHDSLaboratoryObservation; testKit; 0..1; Laboratory test kit used during measurement.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Laboratory test kit used during measurement. ; SHALL:able-to-populate; SHALL:process
EHDSLaboratoryObservation; calibrator; 0..1; Information about which reference material or calibrator of higher order the laboratory has been used for the measurement to indicate the metrological traceability chain.; Identifier;   ; Information about which reference material or calibrator of higher order the laboratory has been used for the measurement to indicate the metrological traceability chain. ; SHALL:able-to-populate; SHALL:process
EHDSLaboratoryObservation; accreditationStatus; 0..1; Accreditation status of the laboratory for the observation.; boolean;   ; Accreditation status of the laboratory for the observation. ; ; 
EHDSLaboratoryObservation; previousResults; 0..*; Previous results of the same observation; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLaboratoryObservation;   ; Previous results of the same observation ; ; 
EHDSLaboratoryObservation; pointOfCareTest; 0..1; Indicates if the observation is a point-of-care test (POCT), i.e. an examination performed near or at the site of a patient.; boolean;   ; Examination performed near or at the site of a patient. ; ; 
EHDSLaboratoryReport; ; 0..*; Laboratory result report model.; ;   ; Laboratory report model ; ; 
EHDSLaboratoryReport; header; 1..1; Basic metadata for this information; Base;   ; Laboratory Report header ; SHALL:able-to-populate; SHALL:process
EHDSLaboratoryReport; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; SHALL:able-to-populate; SHALL:display, SHALL:process
EHDSLaboratoryReport; header.identifier; 1..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Unique identifier of the document ; SHALL:able-to-populate; SHALL:process, SHOULD:display
EHDSLaboratoryReport; header.author[x]; 1..*; Author(s) by whom the laboratory result report was authored. Multiple authors could be provided.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author(s) by whom the laboratory result report was authored. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryReport; header.author[x]; 1..*; Author(s) by whom the laboratory result report was authored. Multiple authors could be provided.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author(s) by whom the laboratory result report was authored. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryReport; header.author[x]; 1..*; Author(s) by whom the laboratory result report was authored. Multiple authors could be provided.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author(s) by whom the laboratory result report was authored. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryReport; header.date; 1..1; Date and optionally time of authoring/issuing; dateTime;   ; Date of finalising/issuing the document ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryReport; header.status; 1..1; Status of the resource or document; CodeableConcept;   ; Status of the document ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryReport; header.source; 0..0; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSLaboratoryReport; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; SHALL:able-to-populate; 
EHDSLaboratoryReport; header.documentType; 1..1; Type of document at hand, e.g. 60591-5 Patient summary document.; CodeableConcept; LOINC (preferred)  ; Type of document at hand, e.g. 60591-5 Patient summary document. ; SHALL:able-to-populate; 
EHDSLaboratoryReport; header.documentTitle; 1..1; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'; string;   ; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024' ; SHALL:able-to-populate; 
EHDSLaboratoryReport; header.period; 0..1; Time of service that is being documented; Period;   ; Time of service that is being documented ; SHALL:able-to-populate; 
EHDSLaboratoryReport; header.version; 0..1; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian; string;   ; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian ; ; 
EHDSLaboratoryReport; header.attestation; 0..*; Document attestation details; Base;   ; Document attestation details ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryReport; header.attestation.attester[x]; 1..1; Attester who validated laboratory result report. Multiple attesters could be provided.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Attester who validated the document ; SHALL:able-to-populate; SHALL:display
